Invoice #	Balance DueAmount Due	Zip Code
22756	125	32812
26207	239	38483
30860	85	35645
32412	19.65	38401
32437	52.63	38464
33400	52.63	38478
33749	78.94	38401
34828	35.46	38401
35417	860	38401
35728	130	34292
36008	195.61	38401
36362	66.79	37085
36363	175	37046
36503	24.8	34228
36526	226	37027
36655	263.16	38451
36657	263.16	38472
37133	210.68	38481
37221	290	37174
37386	100	37206
37722	248.38	37205
37818	32.93	75006
37822	576	37064
37847	387	78641
38321	264.94	38460
38322	168.27	38481
38428	275	37179
38841	314.85	78212
38843	257.38	37072
39113	192.89	75455
39126	100	37013
39283	52.99	38478
39362	75	37055
39418	219.52	34292
39424	130	34207
39547	141.5	38461
39559	19.22	36862
39673	293.01	37062
39811	126.03	37138
39843	71.59	37211
39875	26.48	38401
39929	203.84	34203
40083	474.3	75455
40119	250	34234
40260	149.94	38462
40265	98	37091
40304	205	75501
40359	307.86	78748
40537	105	37055
40545	92	65649
40709	150	77651
40786	8	37216
40841	200	70601
40915	75	34232
40957	55	38451
41050	12.49	37179
41085	357.69	78640
41143	25.73	37216
41203	204.28	27292
41205	15	37013
41245	71.59	37013
41303	37.47	37179
41369	180	75010
41426	52.97	38464
41427	212.99	37091
41564	65	33982
41626	86.45	37091
41627	432.23	37091
41638	331.44	38401
41641	384.28	75455
41648	627.2	32550
41731	161	34287
41783	71.59	38018
41787	14.32	37013
41811	31.63	37129
41993	14.11	75935
42062	52.99	38468
42225	230	75964
42321	200	71801
42325	20	75941
42356	31.63	37040
42503	235	78108
42508	66.42	27260
42526	113.69	39120
42592	229.39	38401
42662	182	27360
42763	170	75041
42764	170	75041
42769	52.97	38464
42807	250	36117
42843	180	75034
42936	80	78717
42939	40	37207
43018	42.41	38478
43081	50	36804
43084	10	78717
43086	176.74	38401
43210	52.99	38401
43268	20	78717
43398	32.5	27265
43514	114.85	37027
43568	195	35085
43767	32.5	27265
43773	138.4	37091
43777	38.43	38401
43830	195	75457
43874	140	75010
43914	6.5	27265
44175	130	34288
44180	195	75455
44208	180	76259
44329	400	75455
44380	400	75686
44420	59.62	37040
44430	180	75075
44444	30	37207
44475	150	36854
44482	75	38462
44486	112.1	38475
44669	362	34287
44674	213.08	34222
44698	200	37091
44744	30.44	34222
44760	60	75686
44848	10	78130
44902	158.21	37211
44903	249.83	37075
44912	250	75455
44927	100	36831
45076	39.58	34224
45121	264.94	38464
45150	31.63	37013
45206	42.42	38460
45222	200	77627
45223	195	75455
45242	232.5	98331
45271	76.86	38478
45274	117	33954
45417	249.78	38461
45490	26.49	38401
45607	60	38485
45648	408.51	37040
45684	75	34231
45697	161.05	38474
45765	195	75455
45808	51.4	38478
45826	4.66	37067
45837	63.2	35040
45872	167.23	27262
45922	82.66	37122
45995	125	75092
45999	114.69	38401
46004	257.07	38464
46029	195	75456
46108	51.41	38464
46130	100.6	37086
46179	211.41	38486
46212	201.5	27370
46213	127.25	27370
46256	60.88	27262
46278	51.4	73501
46283	257.07	38462
46318	62.34	38483
46602	180	75201
46614	53.73	37215
46628	560	87015
46654	14.52	37069
46655	152.34	37062
46685	29.3	37167
46695	840	87506
46697	81.84	37062
46721	90	35094
46731	10.2	36208
46806	860	38451
46822	23.69	37206
46845	260.8	38401
46971	51.4	37091
47073	145.21	37214
47109	63.84	75006
47183	202.54	34286
47439	75.64	38464
47443	51.41	38464
47551	250	38474
47609	25.69	38468
47723	200	78620
47826	76.1	71855
47910	47.84	38459
47911	23.23	37208
47923	595	75551
48015	116.17	37115
48023	30.83	38464
48057	41.12	37096
48099	205.64	37091
48100	140.64	38464
48106	205.64	38456
48330	464	11238
48493	195	34292
48603	145.41	37174
48636	67.7	37128
48676	50	98382
48682	154.2	38464
48909	105.41	37030
48943	59.65	37085
48946	200	80501
49060	487.12	88044
49281	130	34288
49367	20	38483
49424	485	38401
49463	130	34231
49622	125	70341
49657	604.68	29910
49803	130	34239
49816	445.37	70805
49821	142	36024
50052	349.02	75219
50172	180	29910
50228	34.85	37076
50281	362	34286
50327	400	33912
50398	290	37221
50406	180	75006
50503	430	37091
50507	430	38401
50510	430	37091
50576	130	34231
50578	140	34286
50705	70	38401
50717	23.23	37042
50819	60	38401
50842	30	37221
50864	445.37	70815
50890	105	37013
50915	99.94	38468
51004	23.69	37209
51083	41.12	37064
51084	205.64	38478
51115	445	75572
51116	15	37221
