Start 6:13 pm
6:13 pm 41 orders found 
6:13 pm F079 2: 20220323-20220820000530-C2788535.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm W109 1: 20220323-20220820000531-CE291919.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T109 1: 20220323-20220820000532-CE291919.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M018 1: 20220323-20220820000533-DH018014.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M018 1: 20220323-20220820000534-DP048621.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M018 1: 20220323-20220820000535-GV806939.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F373 1: 20220323-20220820000536-GV858471.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F247 1: 20220323-20220820000537-IS597955.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F307 1: 20220323-20220820000538-N9808569.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T106 1: 20220323-20220820000539-OK079511.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220323-20220820000540-OK079511.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T106 1: 20220323-20220820000541-OK079575.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220323-20220820000542-OK079575.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T106 1: 20220323-20220820000543-OK079593.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220323-20220820000544-OK079593.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F079 2: 20220323-20220820000545-OK123861.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F151 1: 20220323-20220820000546-VS268349.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F151 1: 20220323-20220820000547-VS892866.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F305 1: 20220324-20220830000003-FP288673.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F140 1: 20220324-20220830000004-KC304098.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F247 1: 20220324-20220830000005-LV047301.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F305 1: 20220324-20220830000836-BR523165.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F079 2: 20220324-20220830000837-BR603079.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M020 1: 20220324-20220830000838-C2674740.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm W113 1: 20220324-20220830000839-C2674740.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F151 1: 20220324-20220830000840-C2674740.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F373 1: 20220324-20220830000841-CV684461.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220324-20220830000842-DN183081.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F079 2: 20220324-20220830000843-DR045890.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F078 2: 20220324-20220830000844-DR045890.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T112 1: 20220324-20220830000845-EX556836.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T106 1: 20220324-20220830000846-FF031947.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220324-20220830000847-FF031947.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220324-20220830000848-KH397730.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F247 1: 20220324-20220830000849-LV545940.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F247 1: 20220324-20220830000850-LV546034.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M006 2: 20220324-20220830000851-M3339257.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm M002 2: 20220324-20220830000852-M3339257.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm F305 1: 20220324-20220830000853-MM063261.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T106 1: 20220324-20220830000854-OK026876.hl7 March 25 SKIPPED,  moved to /Orders/Back
6:13 pm T146 1: 20220324-20220830000855-OK026876.hl7 March 25 SKIPPED,  moved to /Orders/Back
